"Begin Time - msec","End Time - msec","Yonaguni",
16100,17740,"ndi=du kirariru"
22750,24520,"nni=du buru"
26080,27630,"nni=du buru=je"
39715,41555,"nni=du bun=su=ja"
43155,44415,"nni=du bun=su=ja"
45025,46055,"nni=du buru"
63110,64920,"<terebi>=du nni buru"
65510,67395,"<terebi>=du nni=buru"
102279,106339,"unu ttu=ja nni=du bun=suja"
111619,115470,"unu angamiti=ja <terebi>=du nni bun=suja"
118110,122929,"unu ttu=tu kunu ttu=tu=ja <ttangadan?>=gara nni bun=suja"
229970,232000,"nni=du buru<=to itta=desjo>"
265711,266711,"nni=du buru"
309996,311766,"a hugarassa"
